titulo;link;vistas;authors;ultimaActualizacion;last_chapter
Darkartsmaster;https://manganelo.com/manga/nr919681;220921;Erika Kanbara;Oct 22,19;3
Thief ★Game;https://manganelo.com/manga/yy920954;68746;Ryo Takagi;Oct 25,19;3
A High School Girl Raises A Corporate Slave;https://manganelo.com/manga/vo920797;172184;Kenji Taguchi;Oct 25,19;3
Ichijou Kaname To Wa Kaka Waranai;https://manganelo.com/manga/fr920083;195165;Tsurukame Mayo;Oct 30,19;3
Kemono Renairon;https://manganelo.com/manga/kemono_renairon;61078;Kurumatani haruko;Sep 22,19;3
Hayaku Otona Ni Narinasai.;https://manganelo.com/manga/bc920242;81670;Satoshi Morie;Sep 22,19;3
Choukadou Girls;https://manganelo.com/manga/vs920697;46310;Oyster;Sep 25,19;3
The Sky Prison: Avalon;https://manganelo.com/manga/zc920230;114860;Fujisawa Noriyuki,Toshikiri Hamamura;Sep 29,19;3
Mezametara Saikyou Soubi To Uchuusen-Mochi Datta No De, Ikkodate Mezashite Youhei Toshite Jiyuu Ni Ikitai;https://manganelo.com/manga/hu921804;428256;Ryuto,Shunichi Matsui;Feb 08,20;3.1
Koi To Dangan;https://manganelo.com/manga/mq919460;324536;Kawahara Reki;Oct 19,19;3.1
Monster Musume No Oisha-San;https://manganelo.com/manga/monster_musume_no_oishasan;930969;ORIGUCHI Yoshino, Kanemaki Thomas;Feb 04,20;3.2
Fushigi Pot;https://manganelo.com/manga/jo921803;67947;Fuji tamaki;Feb 17,20;3.2
I Brought Home A Succubus Who Failed To Find A Job;https://manganelo.com/manga/gv920951;667225;Yakitomahawk;Jan 08,20;3.2
Nageki No Bourei Wa Intai Shitai - Saijiyaku Hanta Ni Yoru Saikiyou Patei Ikusei Jutsu;https://manganelo.com/manga/qb920312;751540;Tsukikage;Sep 21,19;3.2
Nikujo No Susume;https://manganelo.com/manga/nikujo_no_susume;126859;Kobato Neneko;Dec 02,19;3.3
Orange Revolution;https://manganelo.com/manga/es921444;14568;Megumi Mizusawa;Dec 15,19;3.5
Touhou Chireikiden ~ Hansoku Tantei Satori;https://manganelo.com/manga/cv920994;52202;ZUN;Jan 27,20;3.5
Black Tiger;https://manganelo.com/manga/oh920168;143257;Osamu Akimoto;Nov 30,19;3.5
One Day, Everything Will Become Your Strength, Everything Becomes Your Power Someday;https://manganelo.com/manga/di920916;30694;Nozomi Tachibana,Yuki Kaji;Oct 19,19;3.5
Fake Cinderella;https://manganelo.com/manga/pf919324;416012;Shiomura Hina;Oct 21,19;3.5
Motto Mayonaka No Jewel;https://manganelo.com/manga/motto_mayonaka_no_jewel;184383;Rem Sakakibara;Sep 29,19;3.6
Dorakon!;https://manganelo.com/manga/fg920912;252007;Hiroomi Shokubai;Dec 06,19;4
A Rich Kid Unfathomable Thoughts;https://manganelo.com/manga/ur921400;32658;Xingkong Comics;Dec 10,19;4
Onecha.;https://manganelo.com/manga/bw921057;548866;Anno Nanakamado;Dec 10,19;4
Belial-Sama Wa Shitennou No Naka Demo Xx;https://manganelo.com/manga/lx918643;254397;Hayashi Yuuichi;Dec 12,19;4
Being The World's Second Best Is Alright;https://manganelo.com/manga/fc921458;35509;unknown;Dec 15,19;4
Twinkle Nora;https://manganelo.com/manga/qx919304;46084;Mikuriya Satomi;Dec 15,19;4
Gensou Suikoden: Uke Tsugareshi Monshou;https://manganelo.com/manga/gensou_suikoden_uke_tsugareshi_monshou;123923;Yuu Hijikata;Dec 15,19;4
Franken Fran Frantic;https://manganelo.com/manga/cf920091;138516;Katsuhisa Kigitsu;Dec 16,19;4
Black Company's Employee Become Cats, Life Changed Story.;https://manganelo.com/manga/tw920876;60455;Merii Shimizu;Dec 19,19;4
Little Ghost Q-Taro;https://manganelo.com/manga/ma921007;20888;Fujiko F. Fujio;Dec 20,19;4
Zipman!!;https://manganelo.com/manga/oc921402;77408;Yusaku Shibata;Dec 23,19;4
Azfareo No Sobayounin;https://manganelo.com/manga/azfareo_no_sobayounin;290655;Chitose Shiki;Dec 23,19;4
Zhongcai Shuo Wo Fei Zhu Duiyou;https://manganelo.com/manga/zhongcai_shuo_wo_fei_zhu_duiyou;100282;Zhu Meng Hui Dao;Dec 25,19;4
Alpi - The Soul Sender;https://manganelo.com/manga/zs921053;109950;Rona;Dec 25,19;4
Masamune-Kun's Re○○○;https://manganelo.com/manga/rq918471;129394;Tiv, Shinichi Yuuki, Hazuki Takeoka;Dec 26,19;4
Warm Bodies Plus;https://manganelo.com/manga/cl921192;106430;Aoi Kujou;Dec 28,19;4
Bro Girl;https://manganelo.com/manga/lr920163;160404;Yutaka Kashii;Dec 28,19;4
Yjk's Unusual Affection;https://manganelo.com/manga/yjks_unusual_affection;460590;Kou Takahashi;Dec 28,19;4
Boku Wa Uchuujin Ni Koi O Shita.;https://manganelo.com/manga/boku_wa_uchuujin_ni_koi_o_shita;136810;Anan Kujira;Dec 30,19;4
Imarried;https://manganelo.com/manga/nb921478;73267;Yi Ling, Brother Yang Tuo;Feb 01,20;4
Just A Girl He Knows;https://manganelo.com/manga/bm921731;86448;Honeyb;Feb 01,20;4
My Boss Keeps Trying To Eat Me!;https://manganelo.com/manga/fh920793;96371;Jie Dahua;Feb 01,20;4
Hello World;https://manganelo.com/manga/my920248;165455;Iri Arata;Feb 01,20;4
Shingou-San Wa Soko Ni Ari;https://manganelo.com/manga/kq922048;25767;Kisaka Zuyuki;Feb 02,20;4
Born Beauty;https://manganelo.com/manga/rx921721;62228;Dazai Osamu;Feb 02,20;4
Suki Yori Mo Chikaku;https://manganelo.com/manga/vv921741;77211;Makino;Feb 02,20;4
Paranoid Love;https://manganelo.com/manga/id921581;112688;Can Can,Summer Zoo;Feb 02,20;4
A Story About An Old Man Teaches Bad Things To A School Girl;https://manganelo.com/manga/ua920785;400594;Haru Hisakawa;Feb 02,20;4
Don't Cry, Teacher!;https://manganelo.com/manga/sv921807;49286;Gene;Feb 03,20;4
Do You Think Someone Like You Could Defeat The Demon Lord?;https://manganelo.com/manga/aw918417;392229;Sunao Minakata, kiki;Feb 03,20;4
Golden Time;https://manganelo.com/manga/tp921640;116045;Ryu hyang;Feb 04,20;4
Emperor Lingtian;https://manganelo.com/manga/kd921411;143683;Updating;Feb 04,20;4
The Reward Comes After The Discipline;https://manganelo.com/manga/sj919442;298471;Niyama;Feb 04,20;4
Visible Only To You;https://manganelo.com/manga/zb922056;41780;unknown;Feb 05,20;4
Psycho-Pass: Sinners Of The System Case 3 - Beyond Love And Hate;https://manganelo.com/manga/bq920678;61231;Makoto Fukami,Natsuo Sai;Feb 05,20;4
A Private Story On Third Street;https://manganelo.com/manga/gg921725;109871;crowink;Feb 05,20;4
Ojou To Banken-Kun;https://manganelo.com/manga/qt919728;187982;Hatsuharu;Feb 06,20;4
When The Cicadas Stop Crying;https://manganelo.com/manga/vy921450;44292;Bopul;Feb 07,20;4
New Life: Savior From Another World;https://manganelo.com/manga/kx922030;160095;EKKOR;Feb 07,20;4
Danshikou Ni Dokusareta Otokonoko;https://manganelo.com/manga/zl919565;539988;Tanuma Ikeuchi;Feb 07,20;4
Taste Of Precociousness;https://manganelo.com/manga/po921819;28707;leeumul;Feb 08,20;4
I Reincarnated Into An Otome Game As A Villainess With Only Destruction Flags... In A Dire Situation!? Verge Of Destruction Arc;https://manganelo.com/manga/jk921003;580869;Yamaguchi Satoru,nishi;Feb 08,20;4
Wild Police Story;https://manganelo.com/manga/iy922123;7924;Aoyama Gosho;Feb 09,20;4
Magic: The Gathering - Moe Tsukinu Honoo;https://manganelo.com/manga/read_magic_the_gathering_moe_tsukinu_honoo;53903;Murayama Yoshitaka And Wizards Of The Coast;Feb 09,20;4
Detective Conan: Police Academy Arc Wild Police Story;https://manganelo.com/manga/se920825;65982;Takahiro Arai,Gosho Aoyama;Feb 09,20;4
Love Live! Sunshine!!;https://manganelo.com/manga/qsoj235351556420993;72056;Kimino Sakurako;Feb 09,20;4
Meshia No Tettsui;https://manganelo.com/manga/zx920854;192228;Muku Amida;Feb 09,20;4
Konbini Tenshi;https://manganelo.com/manga/mw917696;64980;Yuuki Fujimoto;Feb 10,20;4
Vanguard Of Archer;https://manganelo.com/manga/vanguard_of_archer;198575;Hong Jun,Liang Kuai;Feb 10,20;4
An Evil Dragon That Was Sealed Away For 300 Years Became My Friend;https://manganelo.com/manga/vw922060;224434;Type-Moon;Feb 10,20;4
The Gemini Are My Age;https://manganelo.com/manga/yc921485;165221;Tokio Shima;Feb 11,20;4
The Kabocha Wine;https://manganelo.com/manga/the_kabocha_wine;51031;Miura Mitsuru;Feb 12,20;4
Lanzenreiter;https://manganelo.com/manga/em921849;108186;Ardee Arollado (Kero);Feb 12,20;4
The End Of The World And A Witch's Love;https://manganelo.com/manga/lb921392;111344;KUJIRA;Feb 12,20;4
Haunted (ホーンテッド);https://manganelo.com/manga/ss922157;19033;Meruem;Feb 13,20;4
The Terrifying Hitman And The Little Girl He Took In (Fan Colored);https://manganelo.com/manga/ct922158;44919;Rimukoro;Feb 13,20;4
The Angel In Ootani-San's House;https://manganelo.com/manga/am920085;122086;Kiri Torino;Feb 13,20;4
Princess, Is That Holy Water?;https://manganelo.com/manga/ng921108;212745;Gyuunyuu No Mio;Feb 13,20;4
Ihoujin, Dungeon Ni Moguru;https://manganelo.com/manga/ms920770;832847;Kaoru Hoshino,Hinagi Asami;Feb 13,20;4
The Mermaid Wears A Dress;https://manganelo.com/manga/ae920195;79273;Liang Teng;Feb 14,20;4
Magikano;https://manganelo.com/manga/read_magikano;376838;Momose Takeaki;Feb 14,20;4
Catching The God;https://manganelo.com/manga/qs921820;24617;Nunu;Feb 15,20;4
Hanazono And Kazoe's Bizarre After School Rendezvous;https://manganelo.com/manga/du922173;31818;Omi Kohara;Feb 15,20;4
White Blood;https://manganelo.com/manga/ji921956;103481;unknown;Feb 17,20;4
The Three-Body Problem;https://manganelo.com/manga/ux922190;133317;Akisaki Rio;Feb 17,20;4
Run Away With Me, Girl;https://manganelo.com/manga/ry921169;137835;Battan;Feb 17,20;4
Seagull Villa Days;https://manganelo.com/manga/rl920098;143881;Naoko Kodama;Feb 17,20;4
I ♂ Took A Trip To An Otome Game;https://manganelo.com/manga/bi919021;183708;Ikusa Kano;Feb 17,20;4
Modern Wizard Hunting Project;https://manganelo.com/manga/du921862;113915;Luma;Feb 18,20;4
His Highness, Don't Leave! I Will Lose Weight For You!;https://manganelo.com/manga/qd918809;157450;unknown;Feb 18,20;4
Greatest Boss System;https://manganelo.com/manga/nq922112;277273;Feng Qi Yue;Feb 18,20;4
The Cuckoo's Fiancee;https://manganelo.com/manga/do922155;74590;Yoshikawa Miki;Feb 19,20;4
Dark Gathering;https://manganelo.com/manga/gu919735;111260;Kenichi Kondo;Jan 05,20;4
Midara Na Omega Wa Koi Wo Shinai;https://manganelo.com/manga/cy920516;427434;Yashiki Shima;Jan 05,20;4
Motokare Ga Fudanshi Ni Natteorimashite.;https://manganelo.com/manga/wd919649;80653;Mugi Imo;Jan 07,20;4
Florist No Koi Wa Saku;https://manganelo.com/manga/florist_no_koi_wa_saku;89362;Yoshi;Jan 07,20;4
Mayoi Neko To Koi No Ashiato;https://manganelo.com/manga/xb918736;264959;Tsubaki;Jan 07,20;4
Getsuyoubi No Tomodachi;https://manganelo.com/manga/yh919283;58123;Tomomi Abe;Jan 10,20;4
Machiko's One Thousand And One Nights;https://manganelo.com/manga/ve921034;26027;Machiko Satonaka;Jan 12,20;4
Kinjirareta Koibanashi;https://manganelo.com/manga/ek921682;76947;Homerun Ken;Jan 12,20;4
Forbidden Love Story;https://manganelo.com/manga/db921689;109819;Homerun Ken;Jan 12,20;4
Isaac's Sheep;https://manganelo.com/manga/yv920196;116709;Mokhwa;Jan 12,20;4
Alma (Shinji Mito);https://manganelo.com/manga/oq920974;153455;Shinji Mito;Jan 12,20;4
Koha-Ace;https://manganelo.com/manga/px919224;46419;Type-Moon,KEI Kenchi;Jan 13,20;4
Ashita, Naisho No Kiss Shiyou;https://manganelo.com/manga/ashita_naisho_no_kiss_shiyou;214777;Sugata Uri;Jan 13,20;4
Duranki;https://manganelo.com/manga/dr920518;279379;Miura Kentaro;Jan 13,20;4
Isekai Tensei No Boukensha;https://manganelo.com/manga/fz918640;1412414;Kenichi;Jan 13,20;4
Harenchi Gakuen;https://manganelo.com/manga/ba921532;59773;Nagai Go;Jan 14,20;4
Crystal Sugar And Machine Gun;https://manganelo.com/manga/zh921831;33167;Ooshima Tomo;Jan 15,20;4
Tyra & Cera;https://manganelo.com/manga/qm920642;93597;Ichikawa Hiro;Jan 16,20;4
Saikyou No Kyuuketsuhime Wa Imouto Ga Hoshii!!;https://manganelo.com/manga/ai919832;126369;Kaishinshi,Scarlet Rain;Jan 16,20;4
Iblard Monogatari - Laputa No Aru Fuukei;https://manganelo.com/manga/vv921896;14429;Inoue Naohisa;Jan 20,20;4
Kyuuketsuki Ha Shinzo No Yume Wo Miru;https://manganelo.com/manga/aa920644;270952;Okawa Mihara;Jan 21,20;4
Choco Robo!;https://manganelo.com/manga/cr919877;97746;Mutou Hiroshi;Jan 23,20;4
Koko Wa Yasashii Niwa;https://manganelo.com/manga/koko_wa_yasashii_niwa;166386;Enzou;Jan 23,20;4
Can't Defy The Lonely Girl;https://manganelo.com/manga/dv921538;215079;Kashikaze;Jan 23,20;4
Shishidou-San Ni Shikararetai;https://manganelo.com/manga/xr921001;427337;Yasunobu Mogeki;Jan 23,20;4
Mahou No Tenshi Creamy Mami;https://manganelo.com/manga/mahou_no_tenshi_creamy_mami;50008;Itou Kazunori;Jan 26,20;4
Bloody Marriage;https://manganelo.com/manga/rf920780;163037;JEONG SEJIN;Jan 26,20;4
The Reborn Witch Foretells Destruction;https://manganelo.com/manga/lt919119;350235;Sora Mizuki,Teiru Yuzuhara;Jan 26,20;4
Kindaichi Shounen No Jikenbo - Case Series;https://manganelo.com/manga/ba921992;11835;Amagi Seimaru, Kanari Youzaburou;Jan 27,20;4
Rudel, Demon King Of The Blue Sky;https://manganelo.com/manga/lr920617;58701;KATAYAMA Makoto;Jan 27,20;4
Mihanada Pectolite;https://manganelo.com/manga/ra920782;100093;Nago Nayuta;Jan 27,20;4
A Story About A Totally Straightforward Girlfriend;https://manganelo.com/manga/ah921405;397875;Kousuke Kiyomiya;Jan 27,20;4
The Two Of Them Are Pretty Much Like This;https://manganelo.com/manga/rv921996;29760;Momotan;Jan 28,20;4
Namameku Yami To Oboreru Hikari;https://manganelo.com/manga/eg918580;150444;Satsuki Abe;Jan 30,20;4
Sakurai-San Wants To Be Noticed;https://manganelo.com/manga/bi921267;217384;Akino Sora;Jan 30,20;4
Kuro Homura No Sen Otome;https://manganelo.com/manga/ep921637;411778;Kajioki Takuma;Jan 30,20;4
Inn Of Deceiving Stars;https://manganelo.com/manga/cm921386;25494;unknown;Jan 31,20;4
Five Brides Of Miharashi Apartment;https://manganelo.com/manga/dp921361;325324;Mari Matsuzawa;Jan 31,20;4
Boushoku-Hi No Ken;https://manganelo.com/manga/eg920050;485131;Necoco;Jan 31,20;4
The Little Girl Raised By Death Hold The Sword Of Death Tight;https://manganelo.com/manga/jx920482;859066;Suiren Matsukaze,Ayamine Maito;Jan 31,20;4
Winter That Year;https://manganelo.com/manga/kj921018;114917;RanGae;Nov 02,19;4
Prince Edward's Heart Was Stolen;https://manganelo.com/manga/az920840;164666;Hu San,Dou Dou Dou;Nov 02,19;4
Tengu Datte Koi Wo Suru!;https://manganelo.com/manga/zc921017;300114;Maki Hayashi;Nov 02,19;4
Takane No Hana Wa Chirasaretai;https://manganelo.com/manga/lq920047;478507;Sakyo Aya;Nov 05,19;4
We Are Not Ourselves Today;https://manganelo.com/manga/gy920862;124853;Natsumi Ando;Nov 06,19;4
Perfect Relationship;https://manganelo.com/manga/vg920421;41764;Yakkong;Nov 12,19;4
Ren Jiang;https://manganelo.com/manga/cr917613;147096;Yuanqi Gongchang, Shi Yi Ball;Nov 12,19;4
Silent Knight Shou;https://manganelo.com/manga/silent_knight_shou;81064;Kurumada Masami;Nov 13,19;4
Kimi To Ishin Denshin!;https://manganelo.com/manga/kimi_to_ishin_denshin;217121;Yamano Deko;Nov 13,19;4
Cat & Dog In Rose Garden;https://manganelo.com/manga/gc920323;54587;Gigi Amemori;Nov 15,19;4
Harumination;https://manganelo.com/manga/harumination;63532;Daioki;Nov 20,19;4
Harukawa-San Is Hungry Today Too.;https://manganelo.com/manga/yn920717;112028;Sachiko Orihara;Nov 22,19;4
Damsel In Debt;https://manganelo.com/manga/mb920798;410134;Towaka;Oct 06,19;4
2Ljk;https://manganelo.com/manga/ms920835;51387;Ippei Nekosuna;Oct 13,19;4
Happy Life Hajimaru;https://manganelo.com/manga/os920882;91214;Hayuru Fukasawa;Oct 15,19;4
A-Rank Boukensha No Slow Life;https://manganelo.com/manga/zr918902;1205256;Renkinou, Kuko Konno;Oct 15,19;4
The Wolf Child Sora In The War Zone;https://manganelo.com/manga/fs920222;132404;Yuhi Azumi;Oct 21,19;4
My Childhood Friend Who Keeps Transforming Into Monsters;https://manganelo.com/manga/gd920385;244815;Usami Maki;Oct 21,19;4
Please Love The Useless Me Returns;https://manganelo.com/manga/au919536;141147;Aya Nakahara;Oct 22,19;4
Ai No Jikken;https://manganelo.com/manga/mv917579;170842;Kanipan;Oct 22,19;4
Shenmue Side Story;https://manganelo.com/manga/mc920943;20027;Kenji Miyawaki;Oct 23,19;4
The Shaft Of Light In The Blue;https://manganelo.com/manga/ck919434;60762;Shiki Kawabata;Oct 23,19;4
Slow Loop;https://manganelo.com/manga/on918685;61027;Maiko Uchino;Oct 23,19;4
Ponko Tsundere Na Osananajimi;https://manganelo.com/manga/ei918261;234522;Umitsuki Reona;Oct 23,19;4
Twitter-San;https://manganelo.com/manga/cg919940;75729;Kousuke Tsukigi;Oct 26,19;4
A King Of 1K;https://manganelo.com/manga/jl918227;341102;Ryo Takagi;Oct 26,19;4
Dragon King Awakening;https://manganelo.com/manga/lv918881;316926;Yu Mo;Oct 28,19;4
The Dragon And The Dragon Slayer Priestess;https://manganelo.com/manga/no919131;148045;Kanbayashi Ichitora;Oct 30,19;4
The Strongest Warlord Goes To School;https://manganelo.com/manga/wn920721;324631;Mahui,JuHyeon;Oct 30,19;4
Rule Makers;https://manganelo.com/manga/nm919998;52691;Cheol-Hyun Kim;Oct 31,19;4
I, Superhero And Magical Girl;https://manganelo.com/manga/zh917920;176832;Sogou Kudan;Sep 21,19;4
Bizarre Love Triangle;https://manganelo.com/manga/as919212;254357;Kasumi Morino,Misaki Saginomiya;Sep 22,19;4
Janitor-Chan: I Was A Custodian At An Elite Magic High School;https://manganelo.com/manga/vm918735;59589;OTADUCK;Sep 25,19;4
The Forte Of The Blue Sky;https://manganelo.com/manga/the_forte_of_the_blue_sky;138045;Tamayura Shiyu;Sep 25,19;4
Wanwang Exorcist;https://manganelo.com/manga/wr920673;98737;Wind man anime;Sep 26,19;4
Yuki Arare's Pixiv Collection;https://manganelo.com/manga/ef920720;43111;Yuki Arare;Sep 27,19;4
Demons Of Shanghai;https://manganelo.com/manga/demons_of_shanghai;75584;Arakawa Hiromu;Sep 27,19;4
I'm An Opportunistic Princess In-Charge Of Solving Things;https://manganelo.com/manga/dk921268;785436;Kazusa Yoneda,Mamechoro,Mitsuya Fuji;Feb 06,20;4.1
The Princess Likes To Lie;https://manganelo.com/manga/az919996;324181;Takara Kotobuki,Kanno Sayu,Ria Semine;Dec 06,19;4.2
Hakaiou ~Gaogaigar Vs Betterman~ The Comic;https://manganelo.com/manga/hakaiou_gaogaigar_vs_betterman_the_comic;147687;Fujisawa Naoyuki, Yuuichirou Takeda;Dec 29,19;4.2
Kemono No Souja;https://manganelo.com/manga/kemono_no_souja;319051;Uehashi Nahoko;Feb 03,20;4.2
The Unsuccessful Yet Academically Unparalleled Sage ~A Cheating S-Rank Sorcerer's Post-Rebirth Adventurer Log~;https://manganelo.com/manga/ma920724;7480629;Kentarou, Arata Shiraishi,Uodenim;Feb 04,20;4.2
Young Marshal! Your Wife Wants To Overthrow Heaven!;https://manganelo.com/manga/zj922143;85509;Zan wu;Feb 16,20;4.2
My Stepmom's Daughter Was My Ex-Girlfriend;https://manganelo.com/manga/oe920828;612770;Rei Kusakabe,Kyosuke Kamishiro;Feb 18,20;4.2
This Village Sim Npc Could Only Be Human;https://manganelo.com/manga/hz921236;360353;Hirukuma,Kazuhiko Morita;Feb 19,20;4.2
Unicorn To Sabishi-Gari Ya Shoujo;https://manganelo.com/manga/tn920935;202868;Mei Fujimatsu;Jan 23,20;4.2
Dazzling Prince!;https://manganelo.com/manga/ri920557;483341;Tohko Yamaha,Rihito Mitsuki,Iyutani;Jan 24,20;4.2
Heart-Warming Meals With Mother Fenrir;https://manganelo.com/manga/da919276;907924;Harakuro,Sato Yuko;Jan 26,20;4.2
Blade Breaker;https://manganelo.com/manga/lm920761;69870;Kyoutarou Suzuki;Oct 01,19;4.2
That Inferior Knight, Lv. 999;https://manganelo.com/manga/fj919820;5197013;Shiraishi Arata;Nov 09,19;4.4
I Am Not A Succubus;https://manganelo.com/manga/jo918497;271566;Horitomo;Dec 02,19;4.5
Isekai Shikkaku;https://manganelo.com/manga/la921269;140214;Hiroshi Noda,Takahiro Wakamatsu;Dec 25,19;4.5
Suki Nante Iwantoite;https://manganelo.com/manga/gm922022;217023;Tsuba Daeki;Feb 15,20;4.5
Sano-Kun Wa Ijiwaru;https://manganelo.com/manga/kr919795;135323;Sano, You are Meanie!;Jan 20,20;4.5
Sano, You Are Meanie!;https://manganelo.com/manga/ft919817;161700;SENRI Miko;Jan 20,20;4.5
Yoru No Rakka;https://manganelo.com/manga/ck921815;128262;Asou Mitsuaki;Jan 27,20;4.5
Spectral Wizard: Adventure Surrounding The Most Powerful Spell;https://manganelo.com/manga/cp921151;71051;The Imitation Crystal;Nov 29,19;4.5
My Mental Choices Are Completely Interfering With My School Romantic Comedy H;https://manganelo.com/manga/ui917984;239569;Takeru Kasukabe, Ryou Hasemi;Oct 15,19;4.5
One Night Lesson;https://manganelo.com/manga/wt920936;81618;Ryo Takagi;Oct 22,19;4.5
Ouji-Sama Game (Kirishima Rira);https://manganelo.com/manga/oujisama_game_kirishima_rira;116085;Kirishima Rira;Oct 24,19;4.5
Keizoku Wa Maryoku Nari;https://manganelo.com/manga/wi920277;940566;Ricky;Dec 02,19;5
Yi Zhi Chong Hun: Shenmi Laogong Re Bude;https://manganelo.com/manga/gc918146;152002;Kuang Sheng Anime;Dec 04,19;5
Majo No Kaigashuu;https://manganelo.com/manga/majo_no_kaigashuu;270686;unknown;Dec 04,19;5
Bokura No Sekai De;https://manganelo.com/manga/bokura_no_sekai_de;58980;Mamura Mio;Dec 09,19;5
Kumicho Musume To Sewagakari;https://manganelo.com/manga/dn918333;289758;Tsukiya;Dec 09,19;5
I Turned Into A Farm Girl After I Got Reincarnated;https://manganelo.com/manga/ch919349;457371;okitugu1101;Dec 13,19;5
Kiteretsu Daihyakka;https://manganelo.com/manga/wu919431;54696;Fujiko F. Fujio;Dec 14,19;5
I've Married A Demoness;https://manganelo.com/manga/ey920117;621413;Awa Pako;Dec 14,19;5
Play Mind Games;https://manganelo.com/manga/ln921445;72850;Dajiaochong;Dec 15,19;5
The Life Of Ichabod;https://manganelo.com/manga/oi920233;68031;Hiroyuki Shouji;Dec 18,19;5
The Moon Witch And The Sun King: My Salvation;https://manganelo.com/manga/nl920777;469573;HAN SERAM,TOM;Dec 18,19;5
This Can't Be;https://manganelo.com/manga/ny919011;45441;OLSO, HAE;Dec 20,19;5
Hello B612;https://manganelo.com/manga/wt919012;56258;Rahee;Dec 20,19;5
Angry Chair;https://manganelo.com/manga/ul921500;53359;Hyung-Gyu Kang;Dec 21,19;5
Umineko No Naku Koro Ni Shi: Forgery Of The Purple Logic;https://manganelo.com/manga/cw920759;64400;Motoei Shinzawa;Dec 22,19;5
Tsukiiro No Invader;https://manganelo.com/manga/po919976;255972;Ran Yamano;Dec 22,19;5
It's Time To Go To His Stomach, Ok?;https://manganelo.com/manga/bp921571;82294;Wakasugi Kiminori;Dec 25,19;5
The Cursed Sword Master’S Harem Life: By The Sword, For The Sword, Cursed Sword Master;https://manganelo.com/manga/ac919142;1294146;Fukuryu,Saya Kojima;Dec 25,19;5
S. Flight;https://manganelo.com/manga/it918046;37255;Yoolook Culture;Dec 26,19;5
The Female God Of Babel: Kamisama Club In Tower Of Babel;https://manganelo.com/manga/vr921442;72587;OmiOmi;Dec 28,19;5
Futago No Ane Ga Miko Toshite Hikitorarete, Watashi Wa Suterareta Kedo Tabun Watashi Ga Miko De Aru;https://manganelo.com/manga/kh920159;494327;Ikenaka Orina;Dec 29,19;5
Runaway Magical Girl!;https://manganelo.com/manga/rk920701;122500;Gene;Dec 31,19;5
Nan Used To Be Mine Hd;https://manganelo.com/manga/ks922039;26265;Ao Xiao Ze;Feb 01,20;5
2.5D Seduction;https://manganelo.com/manga/bt920017;577854;Atsushi Hashimoto;Feb 01,20;5
Sweet Escape;https://manganelo.com/manga/kf922044;12390;kiyoshin_;Feb 04,20;5
Ayakashi Wa Shousetsuka Ni Koi Wo Suru;https://manganelo.com/manga/sj920857;185722;Ichiko Tanno;Feb 04,20;5
Yokujou;https://manganelo.com/manga/ux921779;228176;Iwamoto kaoru;Feb 04,20;5
Lost Child;https://manganelo.com/manga/lost_child;90634;Nakata Yumi;Feb 05,20;5
I Am Not The Leader;https://manganelo.com/manga/xw921259;108288;Ling Yu Mo;Feb 05,20;5
Badass;https://manganelo.com/manga/badass;353458;Haji;Feb 05,20;5
Chun And Alice;https://manganelo.com/manga/oy921853;94929;Cha Zi;Feb 06,20;5
Otome Equation;https://manganelo.com/manga/rh920580;145698;Narae / Merbiseu;Feb 06,20;5
Blanc Project;https://manganelo.com/manga/we921842;38560;Kosugi Mayu;Feb 07,20;5
Eromanga-Sensei: Yamada Elf-Daisensei No Koi Suru Junshin Gohan;https://manganelo.com/manga/gr921840;69449;FUSHIMI Tsukasa;Feb 08,20;5
Tensei Shitara Slime Datta Ken Ibun ~Makoku Gurashi No Trinity~;https://manganelo.com/manga/xb919833;215804;Fuse;Feb 08,20;5
That Time I Was Reincarnated As A Slime Strange Tales: Monster Country Life Of Trinity;https://manganelo.com/manga/lh919528;479712;Fuse,Tae Tono;Feb 08,20;5
Campus Martial God;https://manganelo.com/manga/rx922077;151467;Feng Jiong;Feb 09,20;5
The Supreme Urban Heavenly Master;https://manganelo.com/manga/bh921412;256106;Beastly;Feb 09,20;5
Offense And Defense In Daites;https://manganelo.com/manga/wn919465;322534;Ayumi Kanou,Nodoka Makihara;Feb 09,20;5
Hatsukoi Losstime;https://manganelo.com/manga/dy920859;91426;Kaiyuan dongman;Feb 10,20;5
No Longer A Heroine!;https://manganelo.com/manga/mi921886;70496;Gi Meng-gi;Feb 11,20;5
Shinomiya Kouta Still Can't Die -Border Of The Dead-;https://manganelo.com/manga/st921456;144057;Riichu,Suzuki Ootsuki;Feb 11,20;5
Tearmoon Empire Story;https://manganelo.com/manga/nz920964;355313;Mizu Morino,Gilse,Nozomu Mochitsuki;Feb 11,20;5
My Childhood Sweetheart Is A Star;https://manganelo.com/manga/cb922142;15059;Man shen comics;Feb 12,20;5
Hang Ah, The Moon's Child;https://manganelo.com/manga/gv921691;65648;Jiya;Feb 12,20;5
Hatsuharu Ga Saku;https://manganelo.com/manga/bf921549;133997;Shibasaki Shouji;Feb 12,20;5
I Don’T Want To Be Empress!;https://manganelo.com/manga/ha921652;182084;Seong euntae;Feb 12,20;5
Wanted Wife In The Globe To Love;https://manganelo.com/manga/oy921068;998948;Zhang Yue;Feb 14,20;5
Gokigenyou, Koharu-San;https://manganelo.com/manga/bg919674;131373;Kanae Hazuki;Feb 15,20;5
